ID,date,line,schedule,unplanned_stoppages,planned_stoppages,work_station,equipment,failure_type,sub_code,failure_description
01012026 Shift C.xlsmD BMW M550i A-PILLAR_17,01/01/2026,D BMW M550i A-PILLAR,03:32,3,,WS_430,Quality_Scanner,Welding_Failure,Weld_Porosity,Robot path deviation detected
01012026 Shift C.xlsmD BMW M550i A-PILLAR_18,01/01/2026,D BMW M550i A-PILLAR,04:25,,45,,,,,Preventive_Maintenance
01012026 Shift C.xlsmD BMW M550i A-PILLAR_19,01/01/2026,D BMW M550i A-PILLAR,04:28,2,,AS_340,Press_Machine,Electrical_Failure,Sensor_Down,PLC reset performed
01012026 Shift C.xlsmD BMW M550i A-PILLAR_20,01/01/2026,D BMW M550i A-PILLAR,04:49,2,,WS_430,CNC_Mill,Electrical_Failure,Short_Circuit,Wrong material loaded
01012026 Shift C.xlsmD BMW M550i A-PILLAR_21,01/01/2026,D BMW M550i A-PILLAR,05:12,7,,WS_430,Spot_Welder,Electrical_Failure,Sensor_Down,Communication error with PLC
01012026 Shift C.xlsmD BMW M550i A-PILLAR_22,01/01/2026,D BMW M550i A-PILLAR,05:19,20,,MS_120,Welding_Robot,Tooling_Failure,Tool_Worn,Tooling required adjustment
01012026 Shift C.xlsmD BMW M550i A-PILLAR_23,01/01/2026,D BMW M550i A-PILLAR,05:27,3,,BS_230,Conveyor_Belt,Welding_Failure,Spatter_Excess,Tooling required adjustment
01012026 Shift C.xlsmD BMW M550i A-PILLAR_24,01/01/2026,D BMW M550i A-PILLAR,05:41,2,,AS_330,Spot_Welder,Welding_Failure,Weld_Porosity,Coolant leak detected
01012026 Shift C.xlsmD BMW M550i A-PILLAR_25,01/01/2026,D BMW M550i A-PILLAR,05:46,5,,WS_430,Fixture_Table,Electrical_Failure,Short_Circuit,Communication error with PLC
01012026 Shift C.xlsmD BMW M550i A-PILLAR_26,01/01/2026,D BMW M550i A-PILLAR,22:03,,10,,,,,Preventive_Maintenance
01012026 Shift C.xlsmD BMW M550i A-PILLAR_27,01/01/2026,D BMW M550i A-PILLAR,22:10,,20,,,,,Break
01012026 Shift C.xlsmD BMW M550i A-PILLAR_28,01/01/2026,D BMW M550i A-PILLAR,22:18,5,,AS_340,Fixture_Table,Mechanical_Failure,Motor_Failure,Welding wire feeder jammed
01012026 Shift C.xlsmD BMW M550i A-PILLAR_29,01/01/2026,D BMW M550i A-PILLAR,22:27,,30,,,,,Changeover
01012026 Shift C.xlsmD BMW M550i A-PILLAR_30,01/01/2026,D BMW M550i A-PILLAR,22:28,10,,MS_110,Hydraulic_Press,Mechanical_Failure,Bearing_Worn,Sensor needs calibration
01012026 Shift C.xlsmD BMW M550i A-PILLAR_31,01/01/2026,D BMW M550i A-PILLAR,22:38,10,,BS_210,Spot_Welder,Tooling_Failure,Tool_Broken,Welding wire feeder jammed
01012026 Shift C.xlsmD BMW M550i A-PILLAR_32,01/01/2026,D BMW M550i A-PILLAR,22:39,2,,MS_130,Conveyor_Belt,Material_Failure,Bent_Part,Wrong material loaded
01012026 Shift C.xlsmD BMW M550i A-PILLAR_33,01/01/2026,D BMW M550i A-PILLAR,22:53,3,,WS_420,Gluing_Robot,Welding_Failure,Burn_Through,Spatter buildup on torch
01012026 Shift C.xlsmD BMW M550i A-PILLAR_34,01/01/2026,D BMW M550i A-PILLAR,23:01,30,,WS_430,Spot_Welder,Tooling_Failure,Misalignment,Conveyor belt misaligned
01012026 Shift C.xlsmD BMW M550i A-PILLAR_35,01/01/2026,D BMW M550i A-PILLAR,23:05,5,,AS_340,Riveting_Tool,Quality_Failure,Visual_Defect,Sensor needs calibration
01012026 Shift C.xlsmD BMW M550i A-PILLAR_36,01/01/2026,D BMW M550i A-PILLAR,23:10,5,,WS_410,Conveyor_Belt,Welding_Failure,Weld_Crack,Pneumatic valve replaced
01012026 Shift C.xlsmD BMW M550i A-PILLAR_37,01/01/2026,D BMW M550i A-PILLAR,23:27,,20,,,,,Preventive_Maintenance
01012026 Shift C.xlsmD BMW M550i A-PILLAR_38,01/01/2026,D BMW M550i A-PILLAR,23:49,30,,WS_430,Conveyor_Belt,Material_Failure,Missing_Component,Robot stopped responding to commands
01012026 Shift C.xlsmD BMW M550i A-PILLAR_39,01/01/2026,D BMW M550i A-PILLAR,23:59,,10,,,,,Preventive_Maintenance
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_40,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:11,5,,BS_230,Gluing_Robot,Tooling_Failure,Tool_Worn,Software reboot required
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_41,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:12,7,,MS_110,Press_Machine,Electrical_Failure,PLC_Error,Conveyor belt misaligned
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_42,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:12,2,,MS_130,Conveyor_Belt,Tooling_Failure,Tool_Broken,Emergency stop triggered
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_43,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:25,2,,WS_420,Quality_Scanner,Tooling_Failure,Tool_Worn,Coolant leak detected
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_44,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:26,5,,BS_230,Press_Machine,Quality_Failure,Out_Of_Spec,Tooling required adjustment
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_45,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:41,7,,BS_220,Quality_Scanner,Electrical_Failure,Sensor_Down,Robot stopped responding to commands
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_46,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:42,2,,WS_410,Quality_Scanner,Mechanical_Failure,Bearing_Worn,Air pressure dropped below threshold
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_47,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:45,,5,,,,,Changeover
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_48,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,14:58,10,,BS_220,Fixture_Table,Electrical_Failure,PLC_Error,Pneumatic valve replaced
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_49,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:03,10,,WS_410,Quality_Scanner,Mechanical_Failure,Motor_Failure,Conveyor belt misaligned
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_50,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:12,3,,MS_120,CNC_Mill,Quality_Failure,Dimension_Error,Software reboot required
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_51,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:21,3,,MS_130,Hydraulic_Press,Material_Failure,Wrong_Part,Communication error with PLC
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_52,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:26,15,,WS_430,Hydraulic_Press,Welding_Failure,Weld_Crack,Trainee made the wrong fix
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_53,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:34,3,,WS_420,Conveyor_Belt,Quality_Failure,Dimension_Error,Quality scanner failed to read
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_54,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:39,5,,AS_320,Quality_Scanner,Material_Failure,Missing_Component,Software reboot required
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_55,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:43,7,,BS_220,CNC_Mill,Quality_Failure,Out_Of_Spec,Replaced worn bearing
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_56,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:48,7,,AS_340,Fixture_Table,Tooling_Failure,Misalignment,Wrong material loaded
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_57,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:52,,5,,,,,Tool_Change
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_58,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,15:58,3,,AS_320,Gluing_Robot,Electrical_Failure,PLC_Error,Cable replaced
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_59,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,16:04,10,,AS_330,Riveting_Tool,Material_Failure,Wrong_Part,Pneumatic valve replaced
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_60,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,16:42,2,,WS_420,CNC_Mill,Welding_Failure,Weld_Porosity,Motor overheated
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_61,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,16:54,,20,,,,,Break
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_62,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,17:04,,20,,,,,Break
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_63,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,17:14,,10,,,,,Preventive_Maintenance
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_64,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,17:20,15,,BS_210,CNC_Mill,Welding_Failure,Weld_Crack,Communication error with PLC
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_65,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,17:23,15,,WS_410,Riveting_Tool,Mechanical_Failure,Motor_Failure,Wrong material loaded
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_66,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,17:25,,45,,,,,Lunch
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_67,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,17:41,,15,,,,,Team_Meeting
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_68,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,18:15,,20,,,,,Changeover
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_69,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,18:57,7,,BS_230,Riveting_Tool,Electrical_Failure,Sensor_Down,Part stuck in fixture
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_70,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,19:18,10,,MS_110,Press_Machine,Welding_Failure,Burn_Through,Wrong material loaded
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_71,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,19:18,5,,AS_330,Quality_Scanner,Material_Failure,Missing_Component,Cable replaced
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_72,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,20:12,2,,MS_130,Hydraulic_Press,Material_Failure,Wrong_Part,Pneumatic valve replaced
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_73,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,20:15,,30,,,,,Team_Meeting
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_74,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,20:36,2,,AS_310,Welding_Robot,Mechanical_Failure,Bearing_Worn,Cooling fan failure
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_75,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,20:55,2,,WS_410,Conveyor_Belt,Tooling_Failure,Tool_Worn,Tooling required adjustment
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_76,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,20:55,,10,,,,,Lunch
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_77,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:01,2,,MS_130,Gluing_Robot,Electrical_Failure,Sensor_Down,Tooling required adjustment
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_78,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:06,15,,AS_320,Fixture_Table,Welding_Failure,Weld_Porosity,Cooling fan failure
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_79,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:15,3,,AS_340,Welding_Robot,Quality_Failure,Dimension_Error,Tooling required adjustment
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_80,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:22,,20,,,,,Changeover
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_81,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:30,7,,AS_340,Press_Machine,Tooling_Failure,Tool_Broken,Wrong material loaded
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_82,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:35,5,,BS_210,Fixture_Table,Tooling_Failure,Misalignment,Welding wire feeder jammed
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_83,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:36,20,,MS_120,Hydraulic_Press,Material_Failure,Bent_Part,Communication error with PLC
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_84,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:37,7,,WS_430,Hydraulic_Press,Electrical_Failure,Sensor_Down,Air pressure dropped below threshold
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_85,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:45,,10,,,,,Preventive_Maintenance
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_86,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:47,,15,,,,,Team_Meeting
01022026 Shift B.xlsmCTRL MERCEDEZ GLE 53 FRONT AXLE_87,01/02/2026,CTRL MERCEDEZ GLE 53 FRONT AXLE,21:49,7,,WS_420,Riveting_Tool,Tooling_Failure,Misalignment,Trainee made the wrong fix
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_88,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:05,,20,,,,,Team_Meeting
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_89,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:07,3,,WS_420,Press_Machine,Electrical_Failure,PLC_Error,Air pressure dropped below threshold
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_90,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:08,7,,MS_130,Press_Machine,Mechanical_Failure,Motor_Failure,Air pressure dropped below threshold
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_91,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:11,,20,,,,,Preventive_Maintenance
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_92,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:15,10,,MS_120,Hydraulic_Press,Material_Failure,Wrong_Material,Spatter buildup on torch
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_93,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:49,7,,BS_230,Gluing_Robot,Electrical_Failure,Sensor_Down,Software reboot required
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_94,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:55,7,,AS_310,Press_Machine,Tooling_Failure,Misalignment,Trainee made the wrong fix
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_95,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,00:56,3,,BS_210,Riveting_Tool,Mechanical_Failure,Motor_Failure,Fixture clamp not closing
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_96,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,01:32,5,,WS_430,Hydraulic_Press,Tooling_Failure,Tool_Broken,PLC reset performed
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_97,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,02:23,10,,WS_430,Riveting_Tool,Mechanical_Failure,Pneumatic_Leak,Air pressure dropped below threshold
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_98,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,02:26,,30,,,,,Shift_Handover
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_99,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:06,,5,,,,,Team_Meeting
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_100,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:13,,15,,,,,Break
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_101,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:14,,5,,,,,Tool_Change
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_102,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:23,3,,BS_230,Quality_Scanner,Tooling_Failure,Misalignment,PLC reset performed
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_103,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:39,,45,,,,,Lunch
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_104,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:43,5,,WS_410,Conveyor_Belt,Quality_Failure,Dimension_Error,Trainee made the wrong fix
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_105,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,03:53,3,,AS_330,Fixture_Table,Tooling_Failure,Tool_Worn,Replaced worn bearing
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_106,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,04:11,7,,WS_430,Quality_Scanner,Welding_Failure,Burn_Through,Wrong material loaded
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_107,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,04:42,,30,,,,,Shift_Handover
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_108,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,04:45,10,,MS_130,CNC_Mill,Welding_Failure,Spatter_Excess,Coolant leak detected
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_109,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,05:05,,45,,,,,Team_Meeting
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_110,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,05:06,,20,,,,,Team_Meeting
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_111,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,05:36,30,,MS_120,Press_Machine,Electrical_Failure,PLC_Error,Tool changeover took longer than expected
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_112,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,05:41,5,,AS_310,Welding_Robot,Welding_Failure,Cold_Weld,Cable replaced
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_113,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,05:48,15,,WS_420,Quality_Scanner,Welding_Failure,Spatter_Excess,Tool changeover took longer than expected
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_114,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,05:48,5,,BS_210,Quality_Scanner,Material_Failure,Bent_Part,Communication error with PLC
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_115,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,22:18,30,,MS_110,Conveyor_Belt,Tooling_Failure,Misalignment,Sensor needs calibration
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_116,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,22:41,10,,AS_340,Conveyor_Belt,Material_Failure,Bent_Part,Cooling fan failure
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_117,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,22:57,7,,WS_430,Conveyor_Belt,Electrical_Failure,Cable_Loose,Pneumatic valve replaced
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_118,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,22:57,3,,BS_210,Quality_Scanner,Tooling_Failure,Tool_Worn,Cable replaced
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_119,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,22:59,7,,MS_120,CNC_Mill,Tooling_Failure,Misalignment,Quality scanner failed to read
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_120,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:02,5,,AS_320,Welding_Robot,Mechanical_Failure,Pneumatic_Leak,Trainee made the wrong fix
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_121,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:03,15,,AS_330,Fixture_Table,Mechanical_Failure,Motor_Failure,Trainee made the wrong fix
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_122,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:05,5,,WS_430,Spot_Welder,Electrical_Failure,Cable_Loose,Wrong material loaded
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_123,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:14,20,,WS_430,Hydraulic_Press,Mechanical_Failure,Pneumatic_Leak,Wrong material loaded
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_124,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:19,,30,,,,,Changeover
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_125,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:19,7,,AS_340,Quality_Scanner,Electrical_Failure,Short_Circuit,Coolant leak detected
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_126,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:25,3,,BS_210,Riveting_Tool,Tooling_Failure,Tool_Worn,Conveyor belt misaligned
01022026 Shift C.xlsmD MERCEDEZ LE 300 REAR AXLE_127,01/02/2026,D MERCEDEZ LE 300 REAR AXLE,23:53,,30,,,,,Preventive_Maintenance
01042026 Shift D.xlsmCTRL BMW X7 B-PILLAR_128,01/04/2026,CTRL BMW X7 B-PILLAR,16:02,30,,AS_330,Spot_Welder,Quality_Failure,Visual_Defect,Coolant leak detected
01042026 Shift D.xlsmCTRL BMW X7 B-PILLAR_129,01/04/2026,CTRL BMW X7 B-PILLAR,16:11,,10,,,,,Team_Meeting
01042026 Shift D.xlsmCTRL BMW X7 B-PILLAR_130,01/04/2026,CTRL BMW X7 B-PILLAR,17:04,,15,,,,,Changeover
01042026 Shift D.xlsmCTRL BMW X7 B-PILLAR_131,01/04/2026,CTRL BMW X7 B-PILLAR,17:10,15,,AS_310,Fixture_Table,Mechanical_Failure,Belt_Broken,Pneumatic valve replaced
01042026 Shift D.xlsmCTRL BMW X7 B-PILLAR_132,01/04/2026,CTRL BMW X7 B-PILLAR,17:43,10,,MS_130,Gluing_Robot,Material_Failure,Wrong_Part,Coolant leak detected
01042026 Shift D.xlsmCTRL BMW X7 B-PILLAR_133,01/04/2026,CTRL BMW X7 B-PILLAR,17:52,7,,MS_130,Press_Machine,Quality_Failure,Out_Of_Spec,Replaced worn bearing
